panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
-2.26521,-1.75898,1.00148,-2.69732,1.28601,0.986962,-2.44079
-2.2014,-1.75574,0.991964,-2.70999,1.25633,1.01538,-2.42879
-2.14167,-1.7578,0.982939,-2.72098,1.22846,1.03622,-2.41379
-2.07992,-1.75584,0.975016,-2.73159,1.20014,1.0587,-2.39279
-2.02175,-1.75869,0.965859,-2.74433,1.1784,1.07393,-2.36879
-1.96152,-1.75741,0.956781,-2.75749,1.15744,1.09086,-2.33879
-1.90331,-1.7584,0.948438,-2.76851,1.13689,1.10392,-2.30279
-1.84701,-1.76206,0.940071,-2.77919,1.11928,1.11313,-2.26079
-1.78763,-1.7627,0.931329,-2.79115,1.10391,1.12521,-2.20979
-1.72553,-1.75978,0.922935,-2.80271,1.08914,1.14015,-2.14979
-1.66809,-1.76202,0.917476,-2.80929,1.07426,1.14907,-2.10179
-1.60536,-1.75752,0.914551,-2.81349,1.05584,1.16472,-2.05979
-1.54612,-1.75854,0.913776,-2.81565,1.03931,1.17541,-2.02979
-1.4858,-1.75763,0.916071,-2.81505,1.02024,1.18737,-2.00879
-1.43312,-1.76106,0.917824,-2.81425,1.00632,1.19021,-1.97579
-1.37933,-1.7597,0.91759,-2.8158,0.995999,1.19502,-1.92479
-1.32911,-1.75789,0.915926,-2.81801,0.990804,1.197,-1.85879
-1.28682,-1.76214,0.913026,-2.82061,0.993932,1.19138,-1.78079
-1.24026,-1.76139,0.913516,-2.82052,0.99494,1.19345,-1.71479
-1.19772,-1.76082,0.918405,-2.81481,0.994175,1.19397,-1.66679
-1.1587,-1.76027,0.927158,-2.80421,0.991287,1.19309,-1.63679
-1.12298,-1.75951,0.939623,-2.78877,0.985296,1.19057,-1.62479
-1.08998,-1.7589,0.951337,-2.77376,0.98159,1.18596,-1.60379
-1.0594,-1.76014,0.961748,-2.76021,0.981915,1.1795,-1.57379
-1.03205,-1.7595,0.971555,-2.74604,0.984119,1.17164,-1.53479
-1.00771,-1.75868,0.980336,-2.73221,0.989743,1.16264,-1.48679
-0.984504,-1.75988,0.989567,-2.71816,0.997506,1.15452,-1.44479
-0.963019,-1.75964,0.999798,-2.70213,1.00479,1.14732,-1.40879
-0.947467,-1.76066,1.01093,-2.68221,1.01154,1.13579,-1.38179
-0.933519,-1.76033,1.02271,-2.66028,1.01715,1.12464,-1.36079
-0.91929,-1.76264,1.03473,-2.63823,1.02313,1.11473,-1.34279
-0.902166,-1.75708,1.04859,-2.61443,1.02451,1.11129,-1.32479
-0.89425,-1.75754,1.06271,-2.5849,1.02485,1.0976,-1.31579
-0.886571,-1.75987,1.07704,-2.55436,1.02443,1.08412,-1.30979
-0.877445,-1.75978,1.09052,-2.5258,1.02568,1.07317,-1.30079
-0.870551,-1.76205,1.10229,-2.49797,1.03004,1.05948,-1.29179
-0.858137,-1.75781,1.11423,-2.47406,1.03543,1.05434,-1.27679
-0.847231,-1.75732,1.12421,-2.45186,1.04497,1.04719,-1.26179
-0.839076,-1.75817,1.13381,-2.42752,1.0541,1.03746,-1.24379
-0.833729,-1.76033,1.14296,-2.40099,1.06301,1.02515,-1.22279
-0.828282,-1.75658,1.15375,-2.37257,1.06903,1.01592,-1.19579
-0.829857,-1.7588,1.16257,-2.33997,1.07644,0.997808,-1.16879
-0.843386,-1.76276,1.16514,-2.30991,1.09888,0.963184,-1.08779
-0.862684,-1.75916,1.16347,-2.29232,1.14203,0.92432,-0.92879
-0.871357,-1.76173,1.15305,-2.31533,1.22955,0.899447,-0.64679
-0.804959,-1.75779,1.15231,-2.40569,1.34172,0.985685,-0.19679
-0.740435,-1.76094,1.16709,-2.44764,1.38536,1.09742,0.13021
-0.724537,-1.76057,1.18174,-2.44267,1.39529,1.1625,0.31621
-0.737139,-1.74256,1.195,-2.41789,1.39259,1.20335,0.40621
-0.781775,-1.74936,1.19514,-2.38417,1.40881,1.1929,0.42421
-0.82793,-1.75052,1.19531,-2.34986,1.42626,1.1827,0.43621
-0.880563,-1.76026,1.19116,-2.31359,1.45081,1.16071,0.44221
-0.92116,-1.73533,1.19967,-2.27474,1.45512,1.16939,0.44821
-0.975874,-1.73988,1.1964,-2.23233,1.47696,1.14777,0.44821
-1.02403,-1.735,1.19756,-2.19321,1.49826,1.1392,0.45121
-1.06805,-1.72821,1.20065,-2.1539,1.5165,1.13887,0.45721
-1.11098,-1.72818,1.20139,-2.11203,1.53238,1.14022,0.46621
-1.13752,-1.69213,1.22125,-2.07178,1.52344,1.17979,0.47821
-1.16346,-1.64782,1.24595,-2.029,1.50616,1.22497,0.49921
-1.21188,-1.6636,1.2383,-1.98269,1.52952,1.21337,0.52621
-1.25441,-1.65778,1.24136,-1.93564,1.53903,1.21896,0.56221
-1.29045,-1.62804,1.25895,-1.88687,1.52901,1.24427,0.60721
-1.33236,-1.61849,1.26479,-1.83965,1.53547,1.25288,0.64921
-1.35584,-1.54729,1.31324,-1.79368,1.48868,1.31861,0.69121
-1.40487,-1.56441,1.30308,-1.744,1.51139,1.30733,0.72721
-1.44257,-1.5371,1.32479,-1.69271,1.4922,1.33674,0.76321
-1.48329,-1.56144,1.31062,-1.64496,1.50478,1.34302,0.83521
-1.52724,-1.61388,1.27172,-1.5887,1.51546,1.33871,0.95521
-1.60429,-1.71352,1.17149,-1.49688,1.54227,1.27732,1.13821
-1.69568,-1.72129,1.12605,-1.33456,1.46425,1.23009,1.39621
-1.8422,-1.74127,1.00749,-1.14539,1.50972,1.09749,1.60621
-1.9353,-1.65654,1.04783,-0.973367,1.45463,1.05687,1.77421
-2.03171,-1.6439,0.980554,-0.873432,1.54426,0.990757,1.87621
-2.05047,-1.6032,1.03775,-0.867483,1.51728,1.00645,1.91221
-2.07345,-1.5841,1.05574,-0.872946,1.52535,1.00869,1.94221
-2.08575,-1.55683,1.09788,-0.886042,1.50399,1.02352,1.96921
-2.08942,-1.52474,1.1535,-0.908585,1.46384,1.04813,1.99321
-2.11856,-1.54694,1.10012,-0.929021,1.53313,1.02182,2.01421
-2.12513,-1.53677,1.11714,-0.958045,1.52459,1.03104,2.02321
-2.10433,-1.47589,1.22631,-0.99592,1.41528,1.09225,2.02321
-2.0811,-1.38416,1.37014,-1.03728,1.26697,1.17869,2.02321
-2.06784,-1.28439,1.50807,-1.08133,1.12261,1.269,2.02321
-2.06893,-1.21605,1.58981,-1.11943,1.03851,1.32978,2.02321
-2.07576,-1.16397,1.64457,-1.15346,0.983978,1.37603,2.02321
-2.08439,-1.12214,1.68275,-1.18611,0.947951,1.41457,2.02321
-2.09431,-1.0897,1.70731,-1.21627,0.92741,1.44542,2.02321
-2.10447,-1.05632,1.73217,-1.24654,0.905448,1.47807,2.02321
-2.11556,-1.02273,1.75688,-1.27586,0.882613,1.51125,2.02321
-2.1303,-0.991983,1.78003,-1.29942,0.860978,1.53902,2.02321
-2.14745,-0.96248,1.80311,-1.3196,0.838787,1.56422,2.02321
-2.16479,-0.929212,1.82944,-1.34242,0.813548,1.59421,2.02321
-2.18404,-0.893935,1.85821,-1.36531,0.78661,1.62577,2.02321
-2.20758,-0.859211,1.88887,-1.38444,0.759356,1.65398,2.02321
-2.23388,-0.82274,1.92272,-1.40354,0.730278,1.68355,2.02321
-2.26096,-0.786156,1.95696,-1.42404,0.701069,1.71553,2.02321
-2.29128,-0.752324,1.99126,-1.44132,0.672876,1.74407,2.02321
-2.32537,-0.72194,2.02595,-1.4543,0.645682,1.76773,2.02321
-2.36164,-0.692971,2.06161,-1.46627,0.61852,1.79076,2.02321
-2.40074,-0.665634,2.09822,-1.47697,0.593503,1.81218,2.02321
-2.44281,-0.639916,2.13612,-1.48639,0.570469,1.83206,2.02321
-2.48678,-0.613767,2.17595,-1.49777,0.548673,1.85467,2.02321
-2.53357,-0.587863,2.21812,-1.51002,0.528211,1.87869,2.02321
-2.58162,-0.56676,2.25828,-1.51896,0.511451,1.89819,2.02321
-2.62977,-0.548994,2.29639,-1.52655,0.497772,1.91576,2.02321
-2.67666,-0.532136,2.3327,-1.53629,0.486448,1.9361,2.02321
-2.72274,-0.517954,2.36652,-1.54519,0.477852,1.95524,2.02321
-2.7704,-0.5066,2.39993,-1.5514,0.472333,1.97051,2.02321
-2.81894,-0.494867,2.43422,-1.55977,0.468947,1.98855,2.02321
-2.8689,-0.481466,2.47069,-1.5722,0.467147,2.01206,2.02321
2.63696,-0.402119,-2.89727,-1.60329,0.0494717,2.10662,2.26021
2.56851,-0.404878,-2.84696,-1.61585,0.0452082,2.13009,2.26021
2.49309,-0.410485,-2.78828,-1.62774,0.0354142,2.15322,2.26021
2.41336,-0.420031,-2.72404,-1.63739,0.0203168,2.17397,2.26021
2.33072,-0.433622,-2.65572,-1.64545,2.79909e-05,2.19333,2.26021
2.27778,-0.442222,-2.62285,-1.65463,-0.00207252,2.21543,2.26021
2.25039,-0.443734,-2.62089,-1.66705,0.0141078,2.24264,2.26021
2.24696,-0.437275,-2.64754,-1.68467,0.048559,2.27692,2.26021
2.27105,-0.424123,-2.7053,-1.70589,0.101242,2.31483,2.26021
2.28828,-0.412256,-2.75388,-1.73085,0.153019,2.35625,2.26021
2.29736,-0.400847,-2.79173,-1.76089,0.20432,2.40413,2.26021
2.30035,-0.390755,-2.82101,-1.79263,0.255842,2.45374,2.26021
2.29643,-0.381733,-2.84076,-1.82641,0.307986,2.50634,2.26021
2.33225,-0.369083,-2.89724,-1.86068,0.328604,2.56162,2.31721
2.77277,-0.369092,2.89538,-1.86385,0.51844,2.53792,2.31721
2.89201,-0.38904,2.75137,-1.85426,0.441581,2.49996,2.53321
-2.8479,-0.698171,2.04221,-1.75545,0.828432,2.19365,2.53321
-2.74196,-1.15781,1.63018,-1.66554,1.23056,1.76053,2.53321
-2.80399,-1.5176,1.34621,-1.62875,1.52876,1.38831,2.57821
-2.81337,-1.53351,1.32816,-1.64388,1.51803,1.33998,2.61421
-2.78224,-1.46375,1.37867,-1.69133,1.43766,1.39592,2.61421
-2.76887,-1.45951,1.37629,-1.73446,1.42264,1.39022,2.61421
-2.76127,-1.48879,1.35141,-1.7779,1.43669,1.35848,2.61421
-2.76217,-1.55906,1.30234,-1.8233,1.48251,1.29593,2.61421
-2.78305,-1.67832,1.22404,-1.8696,1.56644,1.18813,2.61721
-2.75659,-1.65541,1.2407,-1.91634,1.52999,1.21074,2.61721
-2.70771,-1.55671,1.2966,-1.96318,1.43847,1.30109,2.61721
-2.66606,-1.45958,1.34014,-2.0089,1.35465,1.38498,2.61721
-2.62716,-1.36294,1.37405,-2.05481,1.27404,1.46787,2.61721
-2.59361,-1.28315,1.3922,-2.10159,1.21135,1.5341,2.61721
-2.56078,-1.21245,1.39976,-2.14986,1.15958,1.59359,2.61721
-2.52246,-1.15433,1.39696,-2.20304,1.11864,1.65457,2.61721
-2.48025,-1.10178,1.38643,-2.25874,1.08517,1.71696,2.61721
-2.44489,-1.06555,1.36927,-2.30771,1.0617,1.75936,2.61721
-2.41489,-1.04808,1.348,-2.3518,1.04844,1.78514,2.61721
-2.39065,-1.05138,1.3253,-2.39178,1.04587,1.79515,2.61721
-2.37568,-1.07268,1.30369,-2.42601,1.05234,1.78628,2.61721
-2.43696,-1.25496,1.28192,-2.42733,1.14223,1.61207,2.61721
-2.65201,-1.75807,1.17549,-2.38891,1.36942,1.09829,2.62921
-2.7188,-1.74914,1.16165,-2.36567,1.3492,0.989623,2.86921
-2.54914,-1.16085,1.24433,-2.42767,1.13131,1.39417,-2.89498
-2.76393,-1.73632,1.13425,-2.4737,1.46579,0.84171,-2.77198
-2.71397,-1.74296,1.12015,-2.53576,1.48885,0.858036,-2.60998
-2.66643,-1.7587,1.1033,-2.57579,1.49036,0.867106,-2.52898
-2.61713,-1.76214,1.08892,-2.59665,1.4664,0.882954,-2.51098
-2.55782,-1.74496,1.07875,-2.6143,1.43174,0.917447,-2.49298
-2.51402,-1.75371,1.06403,-2.63025,1.41001,0.922705,-2.48098
-2.4703,-1.75961,1.05007,-2.64472,1.38769,0.928039,-2.47198
-2.42597,-1.76158,1.03693,-2.65768,1.36409,0.934602,-2.46598
-2.37233,-1.75469,1.02514,-2.67245,1.33812,0.954242,-2.45698
-2.31745,-1.75193,1.0133,-2.68607,1.31178,0.973684,-2.44798
