time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
0,0,-0.785,0,-2.356,0,1.571,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30702,-5.22133e-12,0.59027,0.923956,-0.382499,1.32493e-12,3.20041e-12
100000000,0.00236616,-0.785816,-0.00252873,-2.35996,-0.00218276,1.57438,0.775625,0.0473231,-0.016316,-0.0505747,-0.0791552,-0.0436551,0.0676835,-0.1875,0.473231,-0.16316,-0.505747,-0.791552,-0.436551,0.676835,-1.875,0.307073,-0.000512974,0.588948,0.925849,-0.377893,0.000185899,0.000136778
200000000,0.00946463,-0.788263,-0.0101149,-2.37183,-0.00873102,1.58454,0.7475,0.0946463,-0.032632,-0.101149,-0.15831,-0.0873102,0.135367,-0.375,0.473231,-0.16316,-0.505747,-0.791552,-0.436551,0.676835,-1.875,0.307222,-0.00201425,0.584965,0.93141,-0.363971,0.000724246,0.000551874
300000000,0.0212954,-0.792342,-0.0227586,-2.39162,-0.0196448,1.60146,0.700625,0.141969,-0.048948,-0.151724,-0.237466,-0.130965,0.203051,-0.5625,0.473231,-0.16316,-0.505747,-0.791552,-0.436551,0.676835,-1.875,0.307425,-0.00438927,0.578267,0.940268,-0.340428,0.00155749,0.00125536
400000000,0.0378585,-0.798053,-0.0404597,-2.41932,-0.0349241,1.62515,0.635,0.189293,-0.065264,-0.202299,-0.316621,-0.17462,0.270734,-0.75,0.473231,-0.16316,-0.505747,-0.791552,-0.436551,0.676835,-1.875,0.307611,-0.00744175,0.568767,0.951776,-0.306774,0.00259216,0.00225006
500000000,0.0591539,-0.805395,-0.0632184,-2.45494,-0.0545689,1.6556,0.550625,0.236616,-0.08158,-0.252873,-0.395776,-0.218276,0.338418,-0.9375,0.473231,-0.16316,-0.505747,-0.791552,-0.436551,0.676835,-1.875,0.307674,-0.0108865,0.556355,0.964958,-0.262356,0.00370537,0.00351105
600000000,0.0851816,-0.814369,-0.0910344,-2.49848,-0.0785792,1.69283,0.4475,0.283939,-0.097896,-0.303448,-0.474931,-0.261931,0.406101,-1.125,0.473231,-0.16316,-0.505747,-0.791552,-0.436551,0.676835,-1.875,0.307462,-0.0143412,0.540908,0.978442,-0.206406,0.00475938,0.0049586
700000000,0.115233,-0.82473,-0.12315,-2.54874,-0.106301,1.73581,0.328434,0.294626,-0.101581,-0.314869,-0.492807,-0.271789,0.421386,-1.16734,-0.473231,0.16316,0.505747,0.791552,0.436551,-0.676835,1.875,0.306787,-0.0172631,0.522742,0.990155,-0.139718,0.00561304,0.00639732
799999999,0.142329,-0.834072,-0.152108,-2.59407,-0.131297,1.77456,0.221075,0.247303,-0.0852647,-0.264295,-0.413652,-0.228134,0.353703,-0.979843,-0.473231,0.16316,0.505747,0.791552,0.436551,-0.676835,1.875,0.305741,-0.0188911,0.506106,0.996917,-0.0778787,0.00611979,0.00738566
899999998,0.164693,-0.841783,-0.176009,-2.63147,-0.151928,1.80655,0.132466,0.19998,-0.0689487,-0.21372,-0.334496,-0.184479,0.286019,-0.792343,-0.473231,0.16316,0.505747,0.791552,0.436551,-0.676835,1.875,0.304536,-0.0195016,0.492229,0.999616,-0.0257863,0.00640833,0.00792242
999999998,0.182325,-0.847862,-0.194852,-2.66097,-0.168193,1.83177,0.0626065,0.152656,-0.0526327,-0.163145,-0.255341,-0.140824,0.218336,-0.604843,-0.473231,0.16316,0.505747,0.791552,0.436551,-0.676835,1.875,0.30335,-0.0195103,0.481216,0.999819,0.0158545,0.00658882,0.00814031
