time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
0,1.34495,0.844063,-1.97217,-2.84641,1.38065,2.02768,2.25399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30702,-5.22133e-12,0.59027,0.923956,-0.382499,1.32493e-12,3.20041e-12
285311670,0,-0.785,0,-2.356,0,1.571,0.785,0.0165865,-0.00571866,-0.0177261,-0.0277434,-0.0153008,0.0237227,-0.0657176,0.242896,-0.0837454,-0.259586,-0.406281,-0.224069,0.3474,-0.962384,0.307047,-0.000257267,0.589609,0.924905,-0.380198,9.33535e-05,6.82794e-05
570623341,0.00118308,-0.785408,-0.00126437,-2.35798,-0.00109138,1.57269,0.780312,0.0331729,-0.0114373,-0.0354522,-0.0554868,-0.0306017,0.0474453,-0.131435,0.242197,-0.0835044,-0.258838,-0.405112,-0.223424,0.3464,-0.959614,0.307108,-0.000851483,0.588065,0.927101,-0.374812,0.000308037,0.000228434
855935011,0.00394359,-0.78636,-0.00421456,-2.3626,-0.00363793,1.57664,0.769375,0.0497594,-0.017156,-0.0531784,-0.0832302,-0.0459025,0.071168,-0.197153,0.241502,-0.0832647,-0.258095,-0.403949,-0.222783,0.345406,-0.95686,0.307199,-0.00176798,0.585631,0.930496,-0.366302,0.000636532,0.000482247
1141246682,0.00828155,-0.787855,-0.00885057,-2.36985,-0.00763964,1.58284,0.752188,0.0663459,-0.0228746,-0.0709045,-0.110974,-0.0612034,0.0948906,-0.26287,0.240811,-0.0830264,-0.257357,-0.402793,-0.222145,0.344417,-0.954121,0.30737,-0.0036936,0.580284,0.937666,-0.347535,0.00131586,0.00104318
1426558353,0.0177462,-0.791119,-0.0189655,-2.38568,-0.0163707,1.59638,0.714687,0.0829323,-0.0285933,-0.0886306,-0.138717,-0.0765042,0.118613,-0.328588,0.240123,-0.0827894,-0.256622,-0.401643,-0.221511,0.343434,-0.951398,0.307558,-0.00638854,0.572176,0.947789,-0.318885,0.00224002,0.00189473
1711870023,0.0319431,-0.796013,-0.0341379,-2.40943,-0.0294672,1.61669,0.658438,0.0995188,-0.034312,-0.106357,-0.16646,-0.0918051,0.142336,-0.394306,0.23944,-0.0825538,-0.255892,-0.4005,-0.220881,0.342457,-0.94869,0.307674,-0.009612,0.561207,0.960054,-0.27978,0.00330059,0.00302579
1997181694,0.0508724,-0.80254,-0.0543678,-2.44109,-0.0469292,1.64376,0.583438,0.103265,-0.0356034,-0.11036,-0.172726,-0.0952605,0.147693,-0.409147,0.0539193,-0.0185902,-0.0576241,-0.0901883,-0.04974,0.0771177,-0.213635,0.307591,-0.0130069,0.547368,0.973197,-0.229889,0.00435968,0.00437401
2282493362,0.0743567,-0.810637,-0.0794657,-2.48037,-0.0685933,1.67735,0.49039,0.0866781,-0.0298848,-0.0926337,-0.144982,-0.0799596,0.123971,-0.343429,-0.238085,0.0820866,0.254444,0.398233,0.219631,-0.340519,0.943321,0.307179,-0.0159731,0.531705,0.984938,-0.172734,0.00523775,0.00572905
2567805032,0.100474,-0.819641,-0.107378,-2.52406,-0.0926865,1.7147,0.386909,0.0700916,-0.0241661,-0.0749076,-0.117239,-0.0646588,0.100248,-0.277711,-0.237413,0.0818549,0.253726,0.39711,0.219011,-0.339558,0.940659,0.306391,-0.0180799,0.515631,0.993512,-0.113369,0.00585635,0.00686247
2853116703,0.126859,-0.828738,-0.135576,-2.56819,-0.117026,1.75244,0.282369,0.0535051,-0.0184474,-0.0571814,-0.0894955,-0.0493579,0.0765253,-0.211994,-0.236745,0.0816246,0.253012,0.395992,0.218395,-0.338603,0.938012,0.305304,-0.0192115,0.50065,0.9983,-0.057449,0.00624443,0.00762998
3138428373,0.151145,-0.837112,-0.16153,-2.60881,-0.13943,1.78717,0.186145,0.0369187,-0.0127288,-0.0394553,-0.0617521,-0.0340571,0.0528026,-0.146276,-0.236081,0.0813956,0.252302,0.394881,0.217782,-0.337652,0.93538,0.304127,-0.0195533,0.488207,0.999891,-0.0106078,0.00647749,0.00802421
3423740047,0.171143,-0.844006,-0.182902,-2.64226,-0.157878,1.81578,0.106911,0.0203322,-0.00701011,-0.0217292,-0.0340087,-0.0187562,0.02908,-0.0805586,-0.23542,0.0811678,0.251596,0.393776,0.217173,-0.336708,0.932763,0.303045,-0.0194525,0.478658,0.999618,0.0255616,0.00662791,0.00816296
3709051717,0.186409,-0.84927,-0.199217,-2.6678,-0.17196,1.83761,0.0464268,0.00374572,-0.00129145,-0.00400309,-0.0062653,-0.00345539,0.00535729,-0.014841,-0.234763,0.0809413,0.250894,0.392677,0.216567,-0.335768,0.93016,0.302201,-0.0191997,0.47205,0.998658,0.0506975,0.00672828,0.00817082
3773483683,0.196942,-0.852901,-0.210474,-2.68542,-0.181677,1.85267,0.00469249,0,0,0,0,0,0,0,-0.0529832,0.0182675,0.0566237,0.0886225,0.0488765,-0.0757788,0.209926,0.301669,-0.0189826,0.468183,0.9978,0.0654462,0.00678853,0.00814079
3773483683,0.203097,-0.855024,-0.217052,-2.69571,-0.187355,1.86148,-0.0196965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301406,-0.0188612,0.46634,0.997313,0.0724822,0.00681811,0.00811731
4058795354,0.206028,-0.856034,-0.220184,-2.70061,-0.190059,1.86567,-0.0313082,0.000378017,-0.0114317,-0.0282773,-0.0266038,-0.0317513,0.0250927,-0.0657176,0.00533217,-0.161251,-0.39887,-0.375265,-0.447873,0.35395,-0.92699,0.301253,-0.0191331,0.46547,0.997072,0.0757072,0.00696693,0.008232
4344107025,0.20693,-0.856748,-0.222143,-2.70305,-0.192011,1.86784,-0.0371738,0.000756033,-0.0228633,-0.0565546,-0.0532077,-0.0635027,0.0501855,-0.131435,0.00531738,-0.160804,-0.397764,-0.374224,-0.446631,0.352968,-0.924419,0.300956,-0.0203667,0.464204,0.996717,0.0801455,0.0075225,0.00872257
4629418695,0.207015,-0.858389,-0.226209,-2.70689,-0.196568,1.87146,-0.0466684,0.000931725,-0.0281765,-0.0696972,-0.0655725,-0.0782598,0.0618479,-0.161979,0.00246454,-0.0745307,-0.184359,-0.173448,-0.207008,0.163596,-0.428457,0.300284,-0.0230486,0.461431,0.995868,0.0898609,0.0087323,0.00980316
4914730366,0.207134,-0.862,-0.235141,-2.7153,-0.206598,1.87938,-0.0674264,0.000553709,-0.0167448,-0.0414199,-0.0389686,-0.0465085,0.0367552,-0.0962614,-0.00528805,0.159917,0.39557,0.37216,0.444168,-0.351021,0.91932,0.299269,-0.0267919,0.457402,0.994458,0.104003,0.0104341,0.0113461
5200042036,0.207306,-0.867213,-0.248035,-2.72743,-0.221077,1.89083,-0.0973943,0.000175692,-0.00531313,-0.0131425,-0.0123648,-0.0147572,0.0116624,-0.0305438,-0.00527351,0.159477,0.394482,0.371136,0.442946,-0.350056,0.916792,0.298122,-0.0306362,0.453048,0.992696,0.119322,0.0122065,0.0129756
5332647303,0.207491,-0.872805,-0.261868,-2.74044,-0.236608,1.9031,-0.129541,0,0,0,0,0,0,0,-0.00244786,0.0740261,0.183111,0.172274,0.205607,-0.162489,0.425557,0.297167,-0.0335718,0.449555,0.991102,0.131637,0.0135843,0.0142533
5332647303,0.207639,-0.877262,-0.272892,-2.75082,-0.248987,1.91288,-0.155162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296621,-0.0351534,0.447606,0.990143,0.13852,0.0143381,0.0149546
5617958974,0.20772,-0.879739,-0.279019,-2.75658,-0.255866,1.91832,-0.169401,-0.00180967,-0.00991694,-0.0308692,-0.025043,-0.0332566,0.0274712,-0.0657176,-0.0251445,-0.137791,-0.428912,-0.347961,-0.462083,0.381699,-0.913114,0.296354,-0.0360136,0.446606,0.989634,0.14203,0.0147632,0.0153125
